date,sector,sector_rank,sector_avg_momentum,code,name,signal_price,momentum,is_uptrend,ma20,ma60,volume_ratio,foreign_5d_net_buy_mil,passed_all_filters,selected,bb_pct,atr,avg_tr_pbmn_mil
2026-05-20,지능형로봇/인공지능(AI),5,8.53,066570,LG전자,178300,43.21,True,162095.0,132830.0,1.58,0,True,True,0.618,20407.0,529842.0
2026-05-20,지능형로봇/인공지능(AI),5,8.53,078890,가온그룹,8740,22.41,True,7910.0,6968.0,4.67,0,True,True,0.671,1088.0,14144.4
2026-05-20,지능형로봇/인공지능(AI),5,8.53,290660,다이나믹솔루션,1167,11.46,True,1081.0,1063.0,1.06,0,True,True,0.746,119.0,3382.7
2026-05-20,지능형로봇/인공지능(AI),5,8.53,090710,휴림로봇,11020,-2.39,False,12350.0,12448.0,0.4,,False,False,0.039,1222.0,196668.9
2026-05-20,지능형로봇/인공지능(AI),5,8.53,010820,퍼스텍,10670,-32.04,False,13293.0,10062.0,0.36,,False,False,0.04,929.0,72012.8
2026-05-21,전선,1,81.5,024840,KBI메탈,6890,160.0,True,6197.0,3604.0,0.64,,False,False,0.569,1626.0,79917.8
2026-05-21,전선,1,81.5,006340,대원전선,15300,139.06,True,13924.0,8476.0,0.15,,False,False,0.6,2735.0,421617.9
2026-05-21,전선,1,81.5,006260,LS,515000,52.59,True,477350.0,344908.0,1.12,0,True,True,0.656,55393.0,138986.3
2026-05-21,전선,1,81.5,001440,대한전선,54800,31.89,False,56735.0,39954.0,0.31,,False,False,0.453,7643.0,813874.6
2026-05-21,전선,1,81.5,103590,일진전기,107100,23.96,False,120590.0,93410.0,0.65,,False,False,0.325,12232.0,106935.8
2026-05-21,온디바이스 AI,2,53.83,080220,제주반도체,95900,104.7,True,64912.0,49881.0,0.47,,False,False,0.945,9014.0,379239.1
2026-05-21,온디바이스 AI,2,53.83,000660,SK하이닉스,1811500,48.0,True,1592525.0,1185592.0,1.05,0,True,False,0.699,135357.0,8584053.2
